108,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie (1 eps),Oct 2013 - Oct 2013,"166,241 members",8.49,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari
109,Re:Zero kara Hajimeru Isekai Seikatsu,TV (25 eps),Apr 2016 - Sep 2016,"573,591 members",8.49,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu
110,Barakamon,TV (12 eps),Jul 2014 - Sep 2014,"286,575 members",8.48,https://myanimelist.net/anime/22789/Barakamon
111,Detective Conan: Episode One - Chiisaku Natta Meitantei,Special (1 eps),Dec 2016 - Dec 2016,"7,162 members",8.48,https://myanimelist.net/anime/34036/Detective_Conan__Episode_One_-_Chiisaku_Natta_Meitantei
112,Mahou Shoujo Madoka★Magica,TV (12 eps),Jan 2011 - Apr 2011,"561,328 members",8.48,https://myanimelist.net/anime/9756/Mahou_Shoujo_Madoka★Magica
113,Uchuu Senkan Yamato 2199,OVA (26 eps),May 2012 - Oct 2013,"54,577 members",8.48,https://myanimelist.net/anime/12029/Uchuu_Senkan_Yamato_2199
114,Doukyuusei (Movie),Movie (1 eps),Feb 2016 - Feb 2016,"52,703 members",8.47,https://myanimelist.net/anime/30346/Doukyuusei_Movie
115,Evangelion: 2.0 You Can (Not) Advance,Movie (1 eps),Jul 2009 - Jul 2009,"212,967 members",8.47,https://myanimelist.net/anime/3784/Evangelion__20_You_Can_Not_Advance
116,Fate/Zero,TV (13 eps),Oct 2011 - Dec 2011,"576,324 members",8.47,https://myanimelist.net/anime/10087/Fate_Zero
117,Hunter x Hunter,TV (62 eps),Oct 1999 - Mar 2001,"201,041 members",8.47,https://myanimelist.net/anime/136/Hunter_x_Hunter
118,Kaze no Tani no Nausicaä,Movie (1 eps),Mar 1984 - Mar 1984,"168,758 members",8.47,https://myanimelist.net/anime/572/Kaze_no_Tani_no_Nausicaä
119,Major S6,TV (25 eps),Apr 2010 - Sep 2010,"29,377 members",8.47,https://myanimelist.net/anime/7655/Major_S6
120,Major: World Series,OVA (2 eps),Dec 2011 - Jan 2012,"16,312 members",8.47,https://myanimelist.net/anime/11917/Major__World_Series
121,Mononoke,TV (12 eps),Jul 2007 - Sep 2007,"110,549 members",8.47,https://myanimelist.net/anime/2246/Mononoke
122,Psycho-Pass,TV (22 eps),Oct 2012 - Mar 2013,"647,530 members",8.47,https://myanimelist.net/anime/13601/Psycho-Pass
123,Yuu☆Yuu☆Hakusho,TV (112 eps),Oct 1992 - Jan 1995,"237,809 members",8.47,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
124,Ghost in the Shell: Stand Alone Complex,TV (26 eps),Oct 2002 - Oct 2003,"230,193 members",8.46,https://myanimelist.net/anime/467/Ghost_in_the_Shell__Stand_Alone_Complex
125,Katanagatari,TV (12 eps),Jan 2010 - Dec 2010,"253,371 members",8.46,https://myanimelist.net/anime/6594/Katanagatari
126,Magi: The Kingdom of Magic,TV (25 eps),Oct 2013 - Mar 2014,"317,899 members",8.46,https://myanimelist.net/anime/18115/Magi__The_Kingdom_of_Magic
127,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,Movie (1 eps),Oct 2012 - Oct 2012,"101,792 members",8.46,https://myanimelist.net/anime/11979/Mahou_Shoujo_Madoka★Magica_Movie_2__Eien_no_Monogatari
128,Neon Genesis Evangelion: The End of Evangelion,Movie (1 eps),Jul 1997 - Jul 1997,"258,945 members",8.46,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
129,Shirobako,TV (24 eps),Oct 2014 - Mar 2015,"192,481 members",8.46,https://myanimelist.net/anime/25835/Shirobako
130,Shokugeki no Souma: Ni no Sara,TV (13 eps),Jul 2016 - Sep 2016,"298,293 members",8.46,https://myanimelist.net/anime/32282/Shokugeki_no_Souma__Ni_no_Sara
131,Tonari no Totoro,Movie (1 eps),Apr 1988 - Apr 1988,"347,407 members",8.46,https://myanimelist.net/anime/523/Tonari_no_Totoro
132,Diamond no Ace: Second Season,TV (51 eps),Apr 2015 - Mar 2016,"50,031 members",8.45,https://myanimelist.net/anime/30230/Diamond_no_Ace__Second_Season
133,Girls und Panzer der Film,Movie (1 eps),Nov 2015 - Nov 2015,"36,994 members",8.45,https://myanimelist.net/anime/18617/Girls_und_Panzer_der_Film
134,Kino no Tabi: The Beautiful World,TV (13 eps),Apr 2003 - Jul 2003,"122,597 members",8.45,https://myanimelist.net/anime/486/Kino_no_Tabi__The_Beautiful_World
135,Sakamichi no Apollon,TV (12 eps),Apr 2012 - Jun 2012,"174,036 members",8.45,https://myanimelist.net/anime/12531/Sakamichi_no_Apollon
136,Steins;Gate: Oukoubakko no Poriomania,Special (1 eps),Feb 2012 - Feb 2012,"192,221 members",8.45,https://myanimelist.net/anime/10863/Steins_Gate__Oukoubakko_no_Poriomania
137,JoJo no Kimyou na Bouken (TV),TV (26 eps),Oct 2012 - Apr 2013,"273,088 members",8.44,https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV
138,Kemono no Souja Erin,TV (50 eps),Jan 2009 - Dec 2009,"43,996 members",8.44,https://myanimelist.net/anime/5420/Kemono_no_Souja_Erin
139,Kizumonogatari I: Tekketsu-hen,Movie (1 eps),Jan 2016 - Jan 2016,"155,091 members",8.44,https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen
140,Noragami Aragoto,TV (13 eps),Oct 2015 - Dec 2015,"439,585 members",8.44,https://myanimelist.net/anime/30503/Noragami_Aragoto
141,Ookami to Koushinryou II,TV (12 eps),Jul 2009 - Sep 2009,"248,452 members",8.44,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II
142,Owarimonogatari,TV (12 eps),Oct 2015 - Dec 2015,"156,519 members",8.44,https://myanimelist.net/anime/31181/Owarimonogatari
143,Romeo no Aoi Sora,TV (33 eps),Jan 1995 - Dec 1995,"18,952 members",8.44,https://myanimelist.net/anime/2559/Romeo_no_Aoi_Sora
144,Shingeki no Kyojin: Kuinaki Sentaku,OVA (2 eps),Dec 2014 - Apr 2015,"132,270 members",8.44,https://myanimelist.net/anime/25781/Shingeki_no_Kyojin__Kuinaki_Sentaku
145,Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,"276,437 members",8.43,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
146,No Game No Life,TV (12 eps),Apr 2014 - Jun 2014,"809,007 members",8.43,https://myanimelist.net/anime/19815/No_Game_No_Life
147,Nodame Cantabile,TV (23 eps),Jan 2007 - Jun 2007,"182,395 members",8.43,https://myanimelist.net/anime/1698/Nodame_Cantabile
148,Fate/stay night: Unlimited Blade Works 2nd Season,TV (13 eps),Apr 2015 - Jun 2015,"279,525 members",8.42,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season
149,Rurouni Kenshin: Meiji Kenkaku Romantan,TV (94 eps),Jan 1996 - Sep 1998,"252,061 members",8.42,https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
150,Stranger: Mukou Hadan,Movie (1 eps),Sep 2007 - Sep 2007,"152,832 members",8.42,https://myanimelist.net/anime/2418/Stranger__Mukou_Hadan
151,Boku no Hero Academia,TV (13 eps),Apr 2016 - Jun 2016,"544,618 members",8.41,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia
152,Cowboy Bebop: Tengoku no Tobira,Movie (1 eps),Sep 2001 - Sep 2001,"161,399 members",8.41,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira
153,Detective Conan Movie 06: The Phantom of Baker Street,Movie (1 eps),Apr 2002 - Apr 2002,"33,999 members",8.42,https://myanimelist.net/anime/1365/Detective_Conan_Movie_06__The_Phantom_of_Baker_Street
154,Kuroko no Basket,TV (25 eps),Apr 2012 - Sep 2012,"423,268 members",8.40,https://myanimelist.net/anime/11771/Kuroko_no_Basket
155,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA (1 eps),Feb 2014 - Feb 2014,"36,599 members",8.41,https://myanimelist.net/anime/20651/Natsume_Yuujinchou__Itsuka_Yuki_no_Hi_ni
156,Toradora!,TV (25 eps),Oct 2008 - Mar 2009,"792,028 members",8.41,https://myanimelist.net/anime/4224/Toradora
157,Tsubasa: Tokyo Revelations,OVA (3 eps),Nov 2007 - Mar 2008,"63,373 members",8.41,https://myanimelist.net/anime/2685/Tsubasa__Tokyo_Revelations
158,Hunter x Hunter OVA,OVA (8 eps),Jan 2002 - Apr 2002,"61,402 members",8.40,https://myanimelist.net/anime/137/Hunter_x_Hunter_OVA
159,Natsume Yuujinchou,TV (13 eps),Jul 2008 - Sep 2008,"257,988 members",8.40,https://myanimelist.net/anime/4081/Natsume_Yuujinchou
160,One Outs,TV (25 eps),Oct 2008 - Apr 2009,"102,225 members",8.40,https://myanimelist.net/anime/5040/One_Outs
161,Hunter x Hunter: Greed Island Final,OVA (14 eps),Mar 2004 - Aug 2004,"64,964 members",8.39,https://myanimelist.net/anime/139/Hunter_x_Hunter__Greed_Island_Final
162,Major S1,TV (26 eps),Nov 2004 - May 2005,"47,994 members",8.39,https://myanimelist.net/anime/627/Major_S1
163,Mobile Suit Gundam: The Origin,OVA (6 eps),Apr 2015 - May 2018,"22,552 members",8.39,https://myanimelist.net/anime/10937/Mobile_Suit_Gundam__The_Origin
164,NHK ni Youkoso!,TV (24 eps),Jul 2006 - Dec 2006,"344,512 members",8.39,https://myanimelist.net/anime/1210/NHK_ni_Youkoso
165,Osomatsu-san 2,TV (? eps),Oct 2017 - ,"15,607 members",8.38,https://myanimelist.net/anime/35067/Osomatsu-san_2
166,Shelter,Music (1 eps),Oct 2016 - Oct 2016,"125,463 members",8.39,https://myanimelist.net/anime/34240/Shelter
