rank,name,year,rating,info_link
81,Tees Maar Khan,2010,            2.6    ,/title/tt1572311/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_81
82,"The Barbaric Beast of Boggy Creek, Part II",1984,            2.6    ,/title/tt0088772/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_82
83,Fat Slags,2004,            2.6    ,/title/tt0382028/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_83
84,"Car 54, Where Are You?",1994,            2.7    ,/title/tt0109376/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_84
85,Zombie Nightmare,1987,            2.7    ,/title/tt0092297/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_85
86,Dragonball Evolution,2009,            2.7    ,/title/tt1098327/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_86
87,Ein Toter hing im Netz,1960,            2.7    ,/title/tt0054333/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_87
88,Theodore Rex,1995,            2.7    ,/title/tt0114658/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_88
89,Mitchell,1975,            2.7    ,/title/tt0073396/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_89
90,Santa Claus,1959,            2.7    ,/title/tt0053241/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_90
91,La momia azteca contra el robot humano,1958,            2.7    ,/title/tt0050717/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_91
92,Survival Island,2002,            2.7    ,/title/tt0201844/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_92
