rank,name,year,rating,info_link
53,Maqbool,2003,            8.1    ,/title/tt0379370/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_53
54,Sairat,2016,            8.1    ,/title/tt5312232/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_54
55,Omkara,2006,            8.1    ,/title/tt0488414/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_55
56,Zindagi Na Milegi Dobara,2011,            8.1    ,/title/tt1562872/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_56
57,Lage Raho Munna Bhai,2006,            8.1    ,/title/tt0456144/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_57
58,Baasha,1995,            8.1    ,/title/tt0139876/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_58
59,Bommarillu,2006,            8.1    ,/title/tt0843326/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_59
60,Barfi!,2012,            8.0    ,/title/tt2082197/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_60
61,Anniyan,2005,            8.0    ,/title/tt0376127/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_61
62,Dilwale Dulhania Le Jayenge,1995,            8.0    ,/title/tt0112870/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_62
